t,dmv_confirmed,dmv_deaths,dmv_recovered,us_confirmed,us_deaths,us_recovered
01-22-2020,0,0,0,1,0,0
01-23-2020,0,0,0,1,0,0
01-24-2020,0,0,0,2,0,0
01-25-2020,0,0,0,2,0,0
01-26-2020,0,0,0,5,0,0
01-27-2020,0,0,0,5,0,0
01-28-2020,0,0,0,5,0,0
01-29-2020,0,0,0,5,0,0
01-30-2020,0,0,0,5,0,0
01-31-2020,0,0,0,6,0,0
02-01-2020,0,0,0,8,0,0
02-02-2020,0,0,0,8,0,0
02-03-2020,0,0,0,11,0,0
02-04-2020,0,0,0,11,0,0
02-05-2020,0,0,0,12,0,0
02-06-2020,0,0,0,12,0,0
02-07-2020,0,0,0,12,0,0
02-08-2020,0,0,0,12,0,0
02-09-2020,0,0,0,12,0,3
02-10-2020,0,0,0,12,0,3
02-11-2020,0,0,0,13,0,3
02-12-2020,0,0,0,13,0,3
02-13-2020,0,0,0,15,0,3
02-14-2020,0,0,0,15,0,3
02-15-2020,0,0,0,15,0,3
02-16-2020,0,0,0,15,0,3
02-17-2020,0,0,0,15,0,3
02-18-2020,0,0,0,15,0,3
02-19-2020,0,0,0,15,0,3
02-20-2020,0,0,0,15,0,3
02-21-2020,0,0,0,35,0,5
02-22-2020,0,0,0,35,0,5
02-23-2020,0,0,0,35,0,5
02-24-2020,0,0,0,53,0,5
02-25-2020,0,0,0,53,0,6
02-26-2020,0,0,0,59,0,6
02-27-2020,0,0,0,60,0,6
02-28-2020,0,0,0,62,0,7
02-29-2020,0,0,0,70,1,7
03-01-2020,0,0,0,76,1,7
03-02-2020,0,0,0,101,6,7
03-03-2020,0,0,0,122,7,8
03-04-2020,0,0,0,153,11,8
03-05-2020,0,0,0,221,12,8
03-06-2020,0,0,0,278,14,8
03-07-2020,0,0,0,417,17,8
03-08-2020,0,0,0,537,21,8
03-09-2020,0,0,0,605,22,8
03-10-2020,20,0,0,959,28,8
03-11-2020,28,0,0,1281,36,8
03-12-2020,39,0,0,1663,40,12
03-13-2020,58,0,0,2179,47,12
03-14-2020,77,1,0,2726,54,12
03-15-2020,93,1,0,3499,63,12
03-16-2020,112,1,3,4632,85,17
